api.butian.net	101.227.27.122
imap.butian.net	123.59.120.183
m.butian.net	61.160.224.60
mail.butian.net	123.59.120.183
smtp.butian.net	123.59.120.183
user.butian.net	101.227.27.129
vod.butian.net	180.163.231.69, 180.163.231.70, 180.163.231.71
www.butian.net	61.160.224.60
zone.butian.net	61.160.224.60
